@relation feature_vector

@attribute alpha_one numeric
@attribute alpha_two numeric
@attribute alpha_three numeric
@attribute alpha_four numeric
@attribute alpha_five numeric
@attribute alpha_six numeric
@attribute watermarked {1,0}

@data
68.15,84.99,90.72,34.79,80.6,71.31,0
8.02,10.39,13.41,17.04,90.16,168.29,0
28.27,12.89,154.16,35.43,133.59,146.36,0
172.21,12.54,12.72,7.11,7.9,7.67,0
93.5,75.09,89.83,89.98,80.21,123.92,0
8.54,7.66,9.83,174.54,8.85,9.96,0
161.85,146.54,14.78,176.44,12.86,18.8,0
158.1,39.3,22.14,30.73,34.69,172.94,0
171.08,12.9,4.97,3.54,3.87,9.89,0
9.49,170.91,7.97,5.83,8.13,13.3,0
13.58,67.72,114.64,75.31,74.05,108.11,0
6.32,6.3,11.87,167.22,7.06,6.11,0
17.71,15.52,95.88,157.93,15.24,10.52,0
39.5,167.88,12.32,9.19,15.78,15.78,0
154.97,21.58,17.62,24.15,15.56,166.09,0
87.76,2.97,16.62,96.52,166.01,152.34,1
84.55,73.5,28.04,80.64,84.53,95.45,0
160.99,15.19,159.69,165.22,13.13,99.19,0
15.4,160.81,19.86,27,153.15,120.35,0
29.12,14.7,20.2,16.12,18.6,153.22,0
17.92,20.56,9.37,9.83,154.69,88.99,0
136.62,145.84,165.81,14.41,31.12,24.28,0
135.27,31.99,134.58,101.97,32.59,133.08,0
29.01,3.73,4.18,6.38,92.4,154.44,0
15.4,13.65,167.57,10.97,13.34,15.1,0
126.54,51.96,125.66,32.32,51.59,129.38,0
17.4,11.94,9.35,156.83,159.18,3.1,0
16.3,18.88,26.44,24.68,160.68,19.14,0
90.44,157.73,14.64,4.62,5.57,6.19,0
8.34,10.55,21.21,15.56,11.57,12.04,0
21.53,10.08,8.43,7.86,27.04,159.87,0
96.72,155.02,18.84,15.02,10.87,12.51,0
27.56,151.93,22.13,158.86,14.38,18.33,0
7.14,7.41,9.18,18.41,95.48,172.51,0
31.63,158.71,24.34,4.93,3.41,6.81,0
8.5,14.19,142.33,67.51,5.6,11.86,0
27.23,67.01,153.7,38.03,39.47,147.54,0
162.43,98.72,73.79,71.8,99.5,74.27,0
24.98,8.53,5.9,10.29,128.66,154.98,0
98.03,83.34,88.17,102.03,64.58,78.47,0
170.08,5.78,13.63,164.8,13.45,32.77,0
11.39,172.87,10.33,7.94,10.59,10.36,0
161.48,153.73,13.22,13.82,9.71,21.43,0
75.43,17.86,155.1,25.46,8.7,0.44,0
26.15,23.21,24.2,15.17,15.1,152.91,0
60.37,69.56,68.42,85.32,92.27,65.45,0
6.71,7.72,16.07,8.64,168.07,84.63,0
6.54,10.76,10.7,15.23,104.41,172.01,0
8.91,24.14,18.83,5.07,11.32,9.72,0
14.42,9.86,7.95,175.74,8.98,12.17,0
140.35,93.22,49.56,143.16,17.69,31.67,0
165.4,32.1,18.32,17.41,11.47,10.74,0
161.98,138.33,25.57,18.83,61.81,131.4,0
26.92,29.58,162.05,54.4,17.28,21.67,0
148.32,158.29,12.32,13.2,34.87,150.9,0
16.18,19.6,145.95,13.2,12.95,10.61,0
54.41,25.22,155.99,59.42,46.58,139.73,0
9.52,9.49,16.91,18.94,90.01,170.93,0
14.78,18.91,19.74,13.09,66.61,157.81,0
146.16,136.09,28.62,39.14,136.78,33.43,0
10.04,4.55,18.81,166.12,163.38,110.8,0
143.22,86.44,166.07,12.43,19.36,23.48,0
3.98,174.55,6.58,7.72,6.97,8.59,0
10.79,12.17,75.38,168.75,11.21,11.56,0
45.56,7.16,166.66,95.33,9.18,5.98,0
173.92,164.74,20.05,5.2,12.84,167.71,0
165.17,93.03,12.15,11.79,31.26,14.06,0
9.42,9.36,8.83,4.78,9.34,11.05,0
12.56,0.93,9.33,20.26,162.77,87.71,0
2.2,2.48,1.97,2.91,177.52,1.98,0
14.63,5.67,6.55,64.35,153.55,8.85,0
178.38,33.12,36.19,15.51,15.17,13.48,0
16.21,6.65,7.35,8.04,20.35,164.6,0
21.37,12.49,11.88,9.96,34.55,159.12,0
170.68,105.37,11.24,8.3,13.15,12.6,0
27.54,155.45,87.33,4.66,2.96,3.84,0
13.1,9.84,10.12,8.38,15.29,15.46,0
4.55,4.51,4.92,14.9,163.96,20.1,0
3.57,4.04,3.88,8.04,169.18,21.97,0
37.97,29.12,27.7,136.64,51.84,39.45,0
19.43,23.46,15.94,10.09,21.04,18.5,0
14.87,9.52,11.63,172.65,14.82,20.45,0
61.72,161.87,18.04,20.45,12.82,13.54,0
24.61,26.47,82.57,23.26,155.46,110.24,0
168.4,13.8,152.42,112.32,22.57,79.64,0
10.78,109.45,156.44,18.17,6.12,6.73,0
131.59,14.76,5.24,7.82,10.54,134.92,0
19.84,164,11.93,169.79,15.05,24.27,0
7.52,9.52,9.21,10.57,11.28,8.31,0
163.24,14.14,29.1,9.9,12.06,118.12,0
8.79,9.2,3.61,7.5,168.02,4.51,0
22.36,11,7.99,7.5,9.43,17.07,0
15.98,6.35,6.86,6.34,5.96,14.25,0
13.68,11.24,10.48,7.25,15.17,164.08,0
2.77,7.74,68.11,150.04,16.17,83.78,0
165.72,7.55,9.05,20.4,12.89,166.59,0
24.49,14.27,17.04,97.06,150.86,7.24,0
19.26,18.09,17.23,14.37,11.32,15.8,0
4.28,8.52,10.31,2.97,10.77,14.6,0
78.64,163.73,4.36,8.99,9.52,16.69,0
103.8,62.84,56.66,81.25,114.39,116.36,1
172.07,15.29,5.12,6.51,6.76,8.09,0
159.21,9.42,4.1,10.67,2.4,169.99,0
32.68,146.96,138.62,55.62,28.92,32.59,0
68.41,73.92,71.59,157.4,22.41,156.05,0
163.27,92.09,10.68,4.39,95.83,163.19,0
17.91,18.73,153.92,59.49,157.83,20.72,0
163.08,29.07,59.31,160.24,17.19,44.3,0
90.47,101.15,78.13,49.83,98.5,82.71,0
7.19,7.12,4.03,4.09,3.79,175.28,0
20.96,20.95,9.64,10.58,11.51,5.35,0
18.27,30.99,172.36,62.44,15.62,17.53,0
97.99,138.99,43.87,29.78,127.88,50.12,0
14.27,10.74,133.44,169.04,5.83,22.64,0
